pair,shape,min_date,max_date,total_days,no_of_trades,volume_traded,total_turnover,avg_price_of_unit_volume,avg_daily_trades
ETH_ICE,"(394, 10)",2017-08-16 18:56:50,2017-11-02 11:54:23,77,394,55500.5735609,61.153109988,0.00088917089012,5
ETH_BNT,"(393, 10)",2017-08-17 04:55:22,2017-11-02 13:50:35,77,393,28702.2964376,218.091506694,0.0072188677708,5
ETH_CFI,"(390, 10)",2017-08-16 14:36:51,2017-11-02 08:54:43,77,390,962969.979317,601.267538926,0.000492834865943,5
ETH_HMQ,"(388, 10)",2017-08-16 22:34:04,2017-11-02 14:29:57,77,388,361289.922437,140.393313149,0.000364028506282,5
ETH_0x4e27,"(385, 10)",2017-10-21 05:09:05,2017-11-02 11:06:01,12,385,72016996.5512,99.1682940642,1.49907469992e-06,32
ETH_GEN,"(362, 10)",2017-10-20 16:15:03,2017-11-02 13:00:03,12,362,1312365.82626,14.4464699247,1.26521108773e-05,30
ETH_TAAS,"(359, 10)",2017-08-17 20:35:36,2017-11-02 08:02:07,76,359,8265.248085,132.748324772,0.016655634603,4
ETH_LUM,"(358, 10)",2017-10-16 15:42:39,2017-11-02 17:05:52,17,358,233718.180398,499.167060122,0.00215318389376,21
ETH_NEWB,"(353, 10)",2017-08-17 03:59:39,2017-11-02 13:31:54,77,353,1592915.0,58.5228604455,3.567359916e-05,4
ETH_HGT,"(342, 10)",2017-10-09 04:32:01,2017-11-02 11:45:41,24,342,4425784.41844,205.673816737,3.88869099375e-05,14
ETH_SWP,"(341, 10)",2017-10-03 11:20:18,2017-11-02 13:49:29,30,341,177353.438859,111.295787384,0.000543143609272,11
ETH_PLBT,"(335, 10)",2017-08-16 22:29:57,2017-11-02 00:54:21,77,335,11741.932312,168.574989305,0.0140768360574,4
ETH_SDRN,"(332, 10)",2017-09-25 09:17:32,2017-11-02 04:23:50,37,332,2964098.27624,89.5232931369,2.22389923365e-05,8
ETH_0x8096,"(327, 10)",2017-10-13 23:00:02,2017-10-23 01:07:38,9,327,44760.26,48.5347320486,0.00108432641027,36
ETH_DBET,"(324, 10)",2017-10-21 08:22:49,2017-11-02 09:57:04,12,324,651647.240186,192.841739117,0.00026784521369,27
ETH_SNGLS,"(323, 10)",2017-08-16 23:35:38,2017-11-02 11:37:14,77,323,389434.0,203.332570422,0.00051750628373,4
ETH_EDG,"(322, 10)",2017-08-17 02:09:53,2017-11-02 16:08:53,77,322,169410.0,334.432350603,0.00210419687089,4
ETH_MTL,"(317, 10)",2017-08-19 08:03:34,2017-11-02 15:15:48,75,317,11354.4280268,354.0407119,0.0316830828403,4
ETH_MTP,"(313, 10)",2017-09-30 03:08:55,2017-11-02 04:10:11,33,313,9.02673694218e+19,34.4053123851,1.02047518225e-07,9
ETH_SIFT,"(312, 10)",2017-09-18 19:11:35,2017-11-02 10:41:02,44,312,23179.0,263.249544072,0.012254990342,7
ETH_MGO,"(306, 10)",2017-08-16 13:34:26,2017-11-01 19:41:31,77,306,107049.329356,177.771714052,0.00165160139124,3
ETH_ITT,"(305, 10)",2017-10-08 17:58:04,2017-11-02 12:06:40,24,305,124346.096721,104.638715228,0.000617592012718,12
ETH_ICOS,"(304, 10)",2017-09-23 16:08:18,2017-11-02 15:54:15,39,304,7043.47013,1006.93394086,0.224510826537,7
ETH_0x1245,"(300, 10)",2017-10-23 05:49:19,2017-11-01 19:52:36,9,300,286833.523422,34.2084001783,7.61396876089e-05,33
ETH_1ST,"(297, 10)",2017-08-18 03:08:49,2017-11-02 08:30:48,76,297,92783.4964543,114.536450667,0.00185629329588,3
ETH_EMV,"(292, 10)",2017-08-16 21:03:57,2017-11-02 10:29:32,77,292,88843.83,82.52385749,0.000881727916852,3
ETH_ETHB,"(278, 10)",2017-09-15 22:17:47,2017-11-02 12:20:41,47,278,74028.6067189,40.929486379,0.00654824900656,5
ETH_MCAP,"(274, 10)",2017-08-17 00:24:03,2017-11-02 12:02:09,77,274,47050.7250231,137.756315059,0.00454173089747,3
ETH_ROC,"(272, 10)",2017-09-19 19:00:18,2017-11-02 17:08:22,43,272,128967.978439,240.01791052,0.00172879613747,6
ETH_LNK,"(271, 10)",2017-08-17 00:23:24,2017-11-01 02:11:25,76,271,1364.49469059,155.122272598,0.104166990245,3
ETH_ARENA,"(268, 10)",2017-09-19 02:54:24,2017-11-02 06:54:43,44,268,9556493.17414,125.224113519,1.41237291812e-05,6
ETH_ART,"(264, 10)",2017-10-15 06:51:09,2017-11-02 06:56:56,18,264,168204.426279,200.932232326,0.00115466541716,14
ETH_EETH,"(260, 10)",2017-10-12 16:25:24,2017-11-02 15:26:51,20,260,2022763.40858,18.2461120623,9.64565432266e-06,13
ETH_EZEC2,"(258, 10)",2017-10-09 21:26:41,2017-11-02 11:13:16,23,258,2290493.35409,14.9475800254,5.08743784692e-06,11
ETH_DEL,"(255, 10)",2017-08-17 00:39:49,2017-11-02 09:36:11,77,255,174235.972359,80.0426488496,0.000728280290177,3
ETH_EBCSH,"(255, 10)",2017-10-08 22:40:22,2017-11-02 10:01:21,24,255,3560428.36584,31.8127112607,5.19591385819e-06,10
ETH_BCAP,"(250, 10)",2017-08-17 14:03:08,2017-11-02 10:28:21,76,250,292638.0,969.36465841,0.00372265778999,3
ETH_TOV,"(248, 10)",2017-08-26 01:07:24,2017-11-02 08:54:56,68,248,1165330.0,13.7946819174,1.08119289746e-05,3
ETH_BTH2,"(246, 10)",2017-10-18 09:32:45,2017-11-02 13:59:07,15,246,433793.527204,5.21731582589,9.05652552329e-06,16
ETH_FYN,"(241, 10)",2017-08-16 14:09:13,2017-11-02 11:12:23,77,241,7701.84270604,45.4088962823,0.00539376107512,3
ETH_EBCC,"(236, 10)",2017-10-09 00:01:40,2017-11-02 09:53:00,24,236,12416376.1166,44.2285908032,4.51310985159e-06,9
ETH_ADST,"(228, 10)",2017-08-22 19:27:49,2017-11-02 06:30:53,71,228,336057.0,137.437332232,0.000385143703538,3
ETH_SNC,"(225, 10)",2017-08-30 21:15:21,2017-11-02 15:07:45,63,225,1019139.7895,103.821537856,0.000905468838737,3
ETH_GXC,"(217, 10)",2017-09-13 06:01:11,2017-11-02 14:56:34,50,217,480630.288104,44.0228350509,0.000352933484734,4
ETH_SHOUC,"(214, 10)",2017-08-16 14:02:25,2017-10-31 03:08:12,75,214,52518528.0134,9.38090243911,1.74147784056e-07,2
ETH_NMR,"(207, 10)",2017-08-16 16:36:26,2017-11-02 10:33:38,77,207,1690.75500386,106.841879266,0.0625763844081,2
