PING api.etherdelta.com (104.20.111.62) 56(84) bytes of data.
64 bytes from 104.20.111.62: icmp_seq=171 ttl=55 time=57.7 ms
64 bytes from 104.20.111.62: icmp_seq=172 ttl=55 time=60.7 ms
64 bytes from 104.20.111.62: icmp_seq=173 ttl=55 time=54.6 ms
64 bytes from 104.20.111.62: icmp_seq=174 ttl=55 time=59.9 ms
64 bytes from 104.20.111.62: icmp_seq=175 ttl=55 time=76.6 ms
64 bytes from 104.20.111.62: icmp_seq=176 ttl=55 time=64.5 ms
64 bytes from 104.20.111.62: icmp_seq=177 ttl=55 time=60.1 ms
64 bytes from 104.20.111.62: icmp_seq=178 ttl=55 time=52.9 ms
64 bytes from 104.20.111.62: icmp_seq=179 ttl=55 time=52.5 ms
64 bytes from 104.20.111.62: icmp_seq=180 ttl=55 time=59.1 ms
64 bytes from 104.20.111.62: icmp_seq=181 ttl=55 time=69.5 ms
64 bytes from 104.20.111.62: icmp_seq=182 ttl=55 time=55.5 ms
64 bytes from 104.20.111.62: icmp_seq=183 ttl=55 time=63.4 ms
64 bytes from 104.20.111.62: icmp_seq=184 ttl=55 time=74.2 ms
64 bytes from 104.20.111.62: icmp_seq=185 ttl=55 time=65.8 ms
64 bytes from 104.20.111.62: icmp_seq=186 ttl=55 time=57.1 ms
64 bytes from 104.20.111.62: icmp_seq=187 ttl=55 time=70.5 ms
64 bytes from 104.20.111.62: icmp_seq=188 ttl=55 time=57.4 ms
64 bytes from 104.20.111.62: icmp_seq=189 ttl=55 time=56.0 ms
64 bytes from 104.20.111.62: icmp_seq=190 ttl=55 time=58.1 ms
64 bytes from 104.20.111.62: icmp_seq=191 ttl=55 time=60.0 ms
64 bytes from 104.20.111.62: icmp_seq=192 ttl=55 time=67.4 ms
64 bytes from 104.20.111.62: icmp_seq=193 ttl=55 time=57.1 ms
64 bytes from 104.20.111.62: icmp_seq=194 ttl=55 time=54.8 ms
64 bytes from 104.20.111.62: icmp_seq=195 ttl=55 time=58.5 ms
64 bytes from 104.20.111.62: icmp_seq=196 ttl=55 time=63.8 ms
64 bytes from 104.20.111.62: icmp_seq=197 ttl=55 time=74.6 ms
64 bytes from 104.20.111.62: icmp_seq=198 ttl=55 time=59.1 ms
64 bytes from 104.20.111.62: icmp_seq=199 ttl=55 time=58.3 ms
64 bytes from 104.20.111.62: icmp_seq=200 ttl=55 time=55.5 ms
64 bytes from 104.20.111.62: icmp_seq=201 ttl=55 time=58.2 ms
64 bytes from 104.20.111.62: icmp_seq=202 ttl=55 time=67.7 ms
64 bytes from 104.20.111.62: icmp_seq=203 ttl=55 time=113 ms
64 bytes from 104.20.111.62: icmp_seq=204 ttl=55 time=56.1 ms
64 bytes from 104.20.111.62: icmp_seq=205 ttl=55 time=56.2 ms
64 bytes from 104.20.111.62: icmp_seq=206 ttl=55 time=55.1 ms
64 bytes from 104.20.111.62: icmp_seq=207 ttl=55 time=60.0 ms
64 bytes from 104.20.111.62: icmp_seq=208 ttl=55 time=60.0 ms
64 bytes from 104.20.111.62: icmp_seq=209 ttl=55 time=59.5 ms
64 bytes from 104.20.111.62: icmp_seq=210 ttl=55 time=58.0 ms
64 bytes from 104.20.111.62: icmp_seq=211 ttl=55 time=60.3 ms
64 bytes from 104.20.111.62: icmp_seq=212 ttl=55 time=56.7 ms
64 bytes from 104.20.111.62: icmp_seq=213 ttl=55 time=61.4 ms
64 bytes from 104.20.111.62: icmp_seq=214 ttl=55 time=61.3 ms
64 bytes from 104.20.111.62: icmp_seq=215 ttl=55 time=57.9 ms
64 bytes from 104.20.111.62: icmp_seq=216 ttl=55 time=72.4 ms
64 bytes from 104.20.111.62: icmp_seq=217 ttl=55 time=68.5 ms
64 bytes from 104.20.111.62: icmp_seq=218 ttl=55 time=57.8 ms
64 bytes from 104.20.111.62: icmp_seq=219 ttl=55 time=54.4 ms
64 bytes from 104.20.111.62: icmp_seq=220 ttl=55 time=57.9 ms
64 bytes from 104.20.111.62: icmp_seq=221 ttl=55 time=56.9 ms
64 bytes from 104.20.111.62: icmp_seq=222 ttl=55 time=56.8 ms
64 bytes from 104.20.111.62: icmp_seq=223 ttl=55 time=55.8 ms
64 bytes from 104.20.111.62: icmp_seq=225 ttl=55 time=66.1 ms
64 bytes from 104.20.111.62: icmp_seq=226 ttl=55 time=75.6 ms
64 bytes from 104.20.111.62: icmp_seq=227 ttl=55 time=61.1 ms
64 bytes from 104.20.111.62: icmp_seq=228 ttl=55 time=57.4 ms
64 bytes from 104.20.111.62: icmp_seq=229 ttl=55 time=58.2 ms
64 bytes from 104.20.111.62: icmp_seq=230 ttl=55 time=55.8 ms
64 bytes from 104.20.111.62: icmp_seq=231 ttl=55 time=83.3 ms
64 bytes from 104.20.111.62: icmp_seq=232 ttl=55 time=56.8 ms
64 bytes from 104.20.111.62: icmp_seq=233 ttl=55 time=101 ms
64 bytes from 104.20.111.62: icmp_seq=234 ttl=55 time=53.3 ms
64 bytes from 104.20.111.62: icmp_seq=235 ttl=55 time=52.9 ms
64 bytes from 104.20.111.62: icmp_seq=236 ttl=55 time=59.2 ms
64 bytes from 104.20.111.62: icmp_seq=237 ttl=55 time=56.4 ms
64 bytes from 104.20.111.62: icmp_seq=238 ttl=55 time=56.6 ms
64 bytes from 104.20.111.62: icmp_seq=239 ttl=55 time=63.4 ms
64 bytes from 104.20.111.62: icmp_seq=240 ttl=55 time=59.7 ms
64 bytes from 104.20.111.62: icmp_seq=241 ttl=55 time=68.2 ms
64 bytes from 104.20.111.62: icmp_seq=242 ttl=55 time=56.2 ms
64 bytes from 104.20.111.62: icmp_seq=243 ttl=55 time=54.5 ms
64 bytes from 104.20.111.62: icmp_seq=244 ttl=55 time=57.3 ms
64 bytes from 104.20.111.62: icmp_seq=245 ttl=55 time=54.9 ms
64 bytes from 104.20.111.62: icmp_seq=246 ttl=55 time=56.7 ms
64 bytes from 104.20.111.62: icmp_seq=247 ttl=55 time=57.8 ms
64 bytes from 104.20.111.62: icmp_seq=248 ttl=55 time=148 ms
64 bytes from 104.20.111.62: icmp_seq=249 ttl=55 time=59.7 ms
64 bytes from 104.20.111.62: icmp_seq=250 ttl=55 time=58.0 ms
64 bytes from 104.20.111.62: icmp_seq=251 ttl=55 time=150 ms
64 bytes from 104.20.111.62: icmp_seq=252 ttl=55 time=56.9 ms
64 bytes from 104.20.111.62: icmp_seq=253 ttl=55 time=55.8 ms
64 bytes from 104.20.111.62: icmp_seq=254 ttl=55 time=66.1 ms
64 bytes from 104.20.111.62: icmp_seq=255 ttl=55 time=68.7 ms
64 bytes from 104.20.111.62: icmp_seq=256 ttl=55 time=58.0 ms
64 bytes from 104.20.111.62: icmp_seq=257 ttl=55 time=57.6 ms
64 bytes from 104.20.111.62: icmp_seq=258 ttl=55 time=56.4 ms
64 bytes from 104.20.111.62: icmp_seq=259 ttl=55 time=60.1 ms
64 bytes from 104.20.111.62: icmp_seq=260 ttl=55 time=57.8 ms
64 bytes from 104.20.111.62: icmp_seq=261 ttl=55 time=57.2 ms
64 bytes from 104.20.111.62: icmp_seq=262 ttl=55 time=57.8 ms
64 bytes from 104.20.111.62: icmp_seq=263 ttl=55 time=62.5 ms
64 bytes from 104.20.111.62: icmp_seq=264 ttl=55 time=66.8 ms
64 bytes from 104.20.111.62: icmp_seq=265 ttl=55 time=55.5 ms
64 bytes from 104.20.111.62: icmp_seq=266 ttl=55 time=85.0 ms
64 bytes from 104.20.111.62: icmp_seq=267 ttl=55 time=64.1 ms
64 bytes from 104.20.111.62: icmp_seq=268 ttl=55 time=60.0 ms
64 bytes from 104.20.111.62: icmp_seq=269 ttl=55 time=71.2 ms
64 bytes from 104.20.111.62: icmp_seq=270 ttl=55 time=52.8 ms
64 bytes from 104.20.111.62: icmp_seq=271 ttl=55 time=57.4 ms
64 bytes from 104.20.111.62: icmp_seq=272 ttl=55 time=59.1 ms
64 bytes from 104.20.111.62: icmp_seq=273 ttl=55 time=58.7 ms
64 bytes from 104.20.111.62: icmp_seq=274 ttl=55 time=62.7 ms
64 bytes from 104.20.111.62: icmp_seq=275 ttl=55 time=64.5 ms
64 bytes from 104.20.111.62: icmp_seq=276 ttl=55 time=62.8 ms
64 bytes from 104.20.111.62: icmp_seq=277 ttl=55 time=56.8 ms
64 bytes from 104.20.111.62: icmp_seq=278 ttl=55 time=57.2 ms
64 bytes from 104.20.111.62: icmp_seq=279 ttl=55 time=58.6 ms
64 bytes from 104.20.111.62: icmp_seq=280 ttl=55 time=67.3 ms
64 bytes from 104.20.111.62: icmp_seq=281 ttl=55 time=64.0 ms
64 bytes from 104.20.111.62: icmp_seq=282 ttl=55 time=56.6 ms
64 bytes from 104.20.111.62: icmp_seq=283 ttl=55 time=53.9 ms
64 bytes from 104.20.111.62: icmp_seq=284 ttl=55 time=56.0 ms
64 bytes from 104.20.111.62: icmp_seq=285 ttl=55 time=56.1 ms
64 bytes from 104.20.111.62: icmp_seq=286 ttl=55 time=58.4 ms
64 bytes from 104.20.111.62: icmp_seq=287 ttl=55 time=59.8 ms
64 bytes from 104.20.111.62: icmp_seq=288 ttl=55 time=71.5 ms
64 bytes from 104.20.111.62: icmp_seq=289 ttl=55 time=61.7 ms
64 bytes from 104.20.111.62: icmp_seq=290 ttl=55 time=59.6 ms
64 bytes from 104.20.111.62: icmp_seq=291 ttl=55 time=69.2 ms
64 bytes from 104.20.111.62: icmp_seq=292 ttl=55 time=54.6 ms
64 bytes from 104.20.111.62: icmp_seq=293 ttl=55 time=54.9 ms
64 bytes from 104.20.111.62: icmp_seq=294 ttl=55 time=56.2 ms
64 bytes from 104.20.111.62: icmp_seq=295 ttl=55 time=56.6 ms
64 bytes from 104.20.111.62: icmp_seq=296 ttl=55 time=57.1 ms
64 bytes from 104.20.111.62: icmp_seq=297 ttl=55 time=55.7 ms
64 bytes from 104.20.111.62: icmp_seq=298 ttl=55 time=66.6 ms
64 bytes from 104.20.111.62: icmp_seq=299 ttl=55 time=58.9 ms
64 bytes from 104.20.111.62: icmp_seq=300 ttl=55 time=54.5 ms
64 bytes from 104.20.111.62: icmp_seq=301 ttl=55 time=75.2 ms
64 bytes from 104.20.111.62: icmp_seq=302 ttl=55 time=61.6 ms
64 bytes from 104.20.111.62: icmp_seq=303 ttl=55 time=59.7 ms
64 bytes from 104.20.111.62: icmp_seq=304 ttl=55 time=58.8 ms
64 bytes from 104.20.111.62: icmp_seq=305 ttl=55 time=59.6 ms
64 bytes from 104.20.111.62: icmp_seq=306 ttl=55 time=55.8 ms
64 bytes from 104.20.111.62: icmp_seq=307 ttl=55 time=59.7 ms
64 bytes from 104.20.111.62: icmp_seq=308 ttl=55 time=56.4 ms
64 bytes from 104.20.111.62: icmp_seq=309 ttl=55 time=61.0 ms
64 bytes from 104.20.111.62: icmp_seq=310 ttl=55 time=55.6 ms
64 bytes from 104.20.111.62: icmp_seq=311 ttl=55 time=68.7 ms
64 bytes from 104.20.111.62: icmp_seq=312 ttl=55 time=54.8 ms
64 bytes from 104.20.111.62: icmp_seq=313 ttl=55 time=59.5 ms
64 bytes from 104.20.111.62: icmp_seq=314 ttl=55 time=56.7 ms
64 bytes from 104.20.111.62: icmp_seq=315 ttl=55 time=54.3 ms
64 bytes from 104.20.111.62: icmp_seq=316 ttl=55 time=58.0 ms
64 bytes from 104.20.111.62: icmp_seq=317 ttl=55 time=56.6 ms
64 bytes from 104.20.111.62: icmp_seq=318 ttl=55 time=56.6 ms
64 bytes from 104.20.111.62: icmp_seq=319 ttl=55 time=57.6 ms
64 bytes from 104.20.111.62: icmp_seq=320 ttl=55 time=55.9 ms
64 bytes from 104.20.111.62: icmp_seq=321 ttl=55 time=54.7 ms
64 bytes from 104.20.111.62: icmp_seq=323 ttl=55 time=57.8 ms
64 bytes from 104.20.111.62: icmp_seq=324 ttl=55 time=60.1 ms
64 bytes from 104.20.111.62: icmp_seq=325 ttl=55 time=58.6 ms
64 bytes from 104.20.111.62: icmp_seq=326 ttl=55 time=54.5 ms
64 bytes from 104.20.111.62: icmp_seq=327 ttl=55 time=59.4 ms
64 bytes from 104.20.111.62: icmp_seq=328 ttl=55 time=57.7 ms
64 bytes from 104.20.111.62: icmp_seq=329 ttl=55 time=56.6 ms
64 bytes from 104.20.111.62: icmp_seq=330 ttl=55 time=59.6 ms
64 bytes from 104.20.111.62: icmp_seq=331 ttl=55 time=57.6 ms
64 bytes from 104.20.111.62: icmp_seq=332 ttl=55 time=55.5 ms
64 bytes from 104.20.111.62: icmp_seq=333 ttl=55 time=58.7 ms
64 bytes from 104.20.111.62: icmp_seq=334 ttl=55 time=54.7 ms
64 bytes from 104.20.111.62: icmp_seq=335 ttl=55 time=55.8 ms
64 bytes from 104.20.111.62: icmp_seq=336 ttl=55 time=58.4 ms
64 bytes from 104.20.111.62: icmp_seq=337 ttl=55 time=57.6 ms
64 bytes from 104.20.111.62: icmp_seq=338 ttl=55 time=55.7 ms
64 bytes from 104.20.111.62: icmp_seq=339 ttl=55 time=58.9 ms
64 bytes from 104.20.111.62: icmp_seq=340 ttl=55 time=58.4 ms
64 bytes from 104.20.111.62: icmp_seq=341 ttl=55 time=57.7 ms
64 bytes from 104.20.111.62: icmp_seq=342 ttl=55 time=56.0 ms
64 bytes from 104.20.111.62: icmp_seq=343 ttl=55 time=59.9 ms
64 bytes from 104.20.111.62: icmp_seq=344 ttl=55 time=60.9 ms
64 bytes from 104.20.111.62: icmp_seq=345 ttl=55 time=57.0 ms
64 bytes from 104.20.111.62: icmp_seq=346 ttl=55 time=57.8 ms
64 bytes from 104.20.111.62: icmp_seq=347 ttl=55 time=59.4 ms
64 bytes from 104.20.111.62: icmp_seq=348 ttl=55 time=57.8 ms
64 bytes from 104.20.111.62: icmp_seq=349 ttl=55 time=56.1 ms
64 bytes from 104.20.111.62: icmp_seq=350 ttl=55 time=57.3 ms
64 bytes from 104.20.111.62: icmp_seq=351 ttl=55 time=72.6 ms
64 bytes from 104.20.111.62: icmp_seq=352 ttl=55 time=656 ms
64 bytes from 104.20.111.62: icmp_seq=353 ttl=55 time=59.5 ms
64 bytes from 104.20.111.62: icmp_seq=354 ttl=55 time=97.4 ms
64 bytes from 104.20.111.62: icmp_seq=355 ttl=55 time=56.1 ms
64 bytes from 104.20.111.62: icmp_seq=356 ttl=55 time=53.3 ms
64 bytes from 104.20.111.62: icmp_seq=357 ttl=55 time=55.9 ms
64 bytes from 104.20.111.62: icmp_seq=358 ttl=55 time=62.5 ms
64 bytes from 104.20.111.62: icmp_seq=359 ttl=55 time=56.4 ms
64 bytes from 104.20.111.62: icmp_seq=360 ttl=55 time=71.8 ms
64 bytes from 104.20.111.62: icmp_seq=361 ttl=55 time=57.0 ms
64 bytes from 104.20.111.62: icmp_seq=362 ttl=55 time=66.4 ms
64 bytes from 104.20.111.62: icmp_seq=363 ttl=55 time=57.1 ms
64 bytes from 104.20.111.62: icmp_seq=364 ttl=55 time=55.3 ms
