date,Open,High,Low,Close,Mean,Std,Range,Q1,Median,Q3,IQR,Skewness,Kurtosis,No_of_Outliers,Volume,Turnover
2017-12-12,1.2099999999999998e-07,1.4e-07,8.5e-08,9.9e-08,1.0687903127605595e-07,1.0293605793887704e-08,5.5000000000000016e-08,1e-07,1.07383749989e-07,1.15700025e-07,1.5700025e-08,0.0,0.0,1,2306329107.1716743,238.30536923226757
2017-12-13,9e-08,700000.000001,8.5e-08,9.5e-08,2755.905511910681,43921.906359727815,700000.000000915,9.300000000000001e-08,9.69903e-08,9.9e-08,5.9999999999999876e-09,15.937377450509226,254.00000000000014,4,2125931291.9752405,200.878913329761
2017-12-14,9.5e-08,1.65e-07,8.71e-08,9.8e-08,1.035299423499838e-07,1.010663826776045e-08,7.79e-08,9.999999000000001e-08,1.0099999999999999e-07,1.0773e-07,7.730009999999987e-09,0.0,0.0,7,1295714228.234377,128.100163507683
2017-12-17,1.34999999e-07,226960.0,7.9e-08,1.41e-07,1320.3604652526394,17305.47783024988,226959.999999921,1.36e-07,1.3800000000000002e-07,1.3900000000000001e-07,3.0000000000000136e-09,13.114869260672966,171.99986296710588,9,710010159.6358075,97.28417738461935
2017-12-18,1.4e-07,0.00013000000000000002,0.0,1.73e-07,8.796813879980028e-07,9.185561363992272e-06,0.00013000000000000002,1.45e-07,1.5e-07,1.7e-07,2.5e-08,12.846716954739506,166.6278865684179,3,829554457.6455663,130.05225827645882
2017-12-19,1.9024999999999997e-07,10000000.0,1.5e-07,1.7e-07,34129.69283293608,584206.2378369761,9999999.99999985,1.7e-07,1.7e-07,1.72e-07,2.000000000000018e-09,17.117242768623683,292.99999999999994,47,1003547065.0867715,171.50728785653112
2017-12-20,1.7e-07,1.92e-07,1.1e-07,1.59e-07,1.5812283215649404e-07,1.0425996792953418e-08,8.199999999999999e-08,1.586025e-07,1.6e-07,1.6100000000000003e-07,2.397500000000032e-09,0.0,0.0,71,1189292743.5275965,172.59877702380402
2017-12-26,1.7600000000000001e-07,2.3569e-05,1.57907360778e-07,1.8e-07,2.8322932338017974e-07,1.4783393378484153e-06,2.3411092639222e-05,1.73e-07,1.7600000000000001e-07,1.7699999999999998e-07,3.999999999999983e-09,14.484681583419311,211.85881216855165,56,1357024926.7834222,234.90253905663332
2017-12-27,1.7600000000000001e-07,3.08e-07,1.75e-07,3.08e-07,1.8199299648488009e-07,2.271643882273254e-08,1.33e-07,1.7699999999999998e-07,1.7699999999999998e-07,1.7699999999999998e-07,0.0,0.0,0.0,31,324103448.55446947,57.36764780120782
2018-01-01,4.5e-07,1e-06,4.35e-07,4.6299999999999995e-07,4.6960137362587214e-07,6.457706391960586e-08,5.649999999999999e-07,4.5e-07,4.56e-07,4.6399999999999997e-07,1.3999999999999993e-08,0.0,0.0,9,70299297.57737245,32.0588958310414
2018-01-02,4.82e-07,4.6969e-05,4.000001e-07,4.5799999999999995e-07,6.001635152679835e-07,2.3224836733651535e-06,4.6568999899999996e-05,4.5049999999999996e-07,4.6e-07,4.78e-07,2.7500000000000054e-08,19.899942188278267,398.1724648203838,29,326272224.5223626,149.57740222577922
2018-01-05,4.93e-07,0.00101501,0.0,5.47e-07,2.816085238685948e-06,4.787783861511836e-05,0.00101501,4.94e-07,5.05e-07,5.3e-07,3.600000000000006e-08,21.18586520044706,448.8931928833471,19,1293784942.3287523,658.1453641940429
2018-01-09,5.7e-07,7.4e-07,5.3e-07,6e-07,5.836087344577282e-07,4.4380473895294125e-08,2.1e-07,5.5e-07,5.629999999999999e-07,6e-07,4.9999999999999945e-08,0.0,0.0,6,188330416.70846617,106.71584761844291
2018-01-10,6.527540359999999e-07,960000.0,5e-07,6.13452525e-07,2742.857143507621,51314.1584471506,959999.9999995,5.949e-07,6.1e-07,6.2744738975475e-07,3.254738975474994e-08,18.708286933869704,349.9999999999997,32,397541422.10007656,240.69592182138686
2018-01-14,4.45e-07,4e-06,4e-07,4.35e-07,4.833680559272501e-07,3.595441534759849e-07,3.6e-06,4.3e-07,4.4e-07,4.5e-07,1.9999999999999967e-08,0.0,0.0,18,126667527.37300707,54.682230968794435
2018-01-15,4.3e-07,3e-06,3.6e-07,4.0700000000000003e-07,4.655615056272952e-07,2.081092490970885e-07,2.64e-06,4.25e-07,4.45e-07,4.55e-07,2.999999999999998e-08,0.0,0.0,27,1251290064.051862,499.6882941855526
2018-01-16,4.06e-07,50000.0,0.0,4.9e-07,140.05602281154296,2646.280620103448,50000.0,3.95e-07,3.98952952998e-07,4e-07,5.000000000000005e-09,18.894443627691174,356.9999999999998,64,307464123.1007865,120.56894916026101
