#,Source,Pair,Volume (24h),Price,Volume (%),Updated
259,TCC Exchange,TCC/BTC,397930,4345.4200,0.04%,Recently
260,Bittrex,NXT/BTC,393703,4295.6700,0.03%,Recently
261,Koinim,BTC/TRY,390279,4318.9500,0.03%,Recently
262,Kraken,ICN/BTC,389260,4314.4200,0.03%,Recently
263,Binance,BQX/BTC,388312,4457.6900,0.03%,Recently
264,Liqui,KNC/BTC,387537,4350.3900,0.03%,Recently
265,Exmo,BTC/EUR,383539,4241.8000,0.03%,Recently
266,Exmo,DASH/BTC,383266,4293.4700,0.03%,Recently
267,Bittrex,LBC/BTC,383012,4314.9700,0.03%,Recently
268,WEX,DSH/BTC,381812,4318.7400,0.03%,Recently
269,Bittrex,UBQ/BTC,375230,4288.8500,0.03%,Recently
270,Cryptopia,BIS/BTC,374387,4320.8200,0.03%,Recently
271,QuadrigaCX,ETH/BTC,373677,4306.2300,0.03%,Recently
272,HitBTC,BCN/BTC,371231,4323.2300,0.03%,Recently
273,HitBTC,XTZ/BTC,369235,4341.1200,0.03%,Recently
274,Bittrex,XEL/BTC,367306,4270.6300,0.03%,Recently
275,Bittrex,SNT/BTC,359518,4293.5000,0.03%,Recently
276,Bittrex,BNT/BTC,354815,4370.1500,0.03%,Recently
277,Bittrex,TRST/BTC,354219,4317.5600,0.03%,Recently
278,Novaexchange,CMP/BTC,352820,4320.9500,0.03%,Recently
279,OKEx,ETH/BTC,352788,4318.9900,0.03%,Recently
280,Bittrex,MAID/BTC,348697,4264.7300,0.03%,Recently
281,Bittrex,XLM/BTC,348324,4432.8600,0.03%,Recently
282,Bittrex,WINGS/BTC,343347,4303.6000,0.03%,Recently
283,Bittrex,STORJ/BTC,342158,4290.5400,0.03%,Recently
284,Bittrex,DOGE/BTC,337693,4556.3400,0.03%,Recently
285,DSX,BTC/EUR,333730,4318.0100,0.03%,Recently
286,Huobi,ETH/BTC,333051,4322.3800,0.03%,Recently
287,BTC-Alpha,XMR/BTC,321560,4327.3400,0.03%,Recently
288,Poloniex,DCR/BTC,321220,4344.8000,0.03%,Recently
289,Poloniex,GNT/BTC,321050,4315.7800,0.03%,Recently
290,Kraken,ETC/BTC,319549,4309.7900,0.03%,Recently
291,CoinExchange,ETH/BTC,314958,4352.6000,0.03%,Recently
292,Altcoin Trader,BTC/ZAR,312585,4466.4400,0.03%,Recently
293,Bittrex,FCT/BTC,307781,4280.3800,0.03%,Recently
294,Bittrex,GBYTE/BTC,306088,4266.5500,0.03%,Recently
295,Exmo,WAVES/BTC,304219,4358.9400,0.03%,Recently
296,Tidex,ETH/BTC,303641,4319.0200,0.03%,Recently
297,Gatehub,XRP/BTC,300815,4383.3800,0.03%,Recently
298,Coinsquare,BTC/CAD,300654,4490.7800,0.03%,Recently
299,Tidex,DASH/BTC,299734,4343.4300,0.03%,Recently
300,Poloniex,SYS/BTC,299702,4337.3300,0.03%,Recently
301,HitBTC,STRAT/BTC,288806,4258.8400,0.03%,Recently
302,Bittrex,NLG/BTC,287002,4321.7800,0.03%,Recently
303,Bitstamp,LTC/BTC,283534,4325.3800,0.03%,Recently
304,CoinExchange,PURA/BTC,278124,4319.1800,0.02%,Recently
305,Bittrex,CRW/BTC,276617,4323.2800,0.02%,Recently
306,Bittrex,RLC/BTC,275927,4323.0000,0.02%,Recently
307,HitBTC,XEM/BTC,275199,4456.4900,0.02%,Recently
308,Kraken,ZEC/BTC,274456,4314.1400,0.02%,Recently
309,Poloniex,DOGE/BTC,269174,4366.4900,0.02%,Recently
310,Biduobao,BTC/CNY,268940,4202.1900,0.02%,Recently
311,Liqui,STX/BTC,268209,4385.3600,0.02%,Recently
312,xBTCe,DASH/BTC,262143,4532.7900,0.02%,Recently
313,Poloniex,VTC/BTC,259821,4295.9200,0.02%,Recently
314,Bittrex,CFI/BTC,258476,4433.7400,0.02%,Recently
315,CoinMate,BTC/EUR,253534,4340.2200,0.02%,Recently
316,CEX.IO,BTC/EUR,249551,4356.1500,0.02%,Recently
317,Bitcoin Indonesia,BTS/BTC,248995,4104.7300,0.02%,Recently
318,Tidex,KOLION/BTC,248444,4335.3500,0.02%,Recently
319,Poloniex,NXT/BTC,247605,4323.7300,0.02%,Recently
320,Poloniex,NXC/BTC,246913,4313.5200,0.02%,Recently
321,Bittrex,EBST/BTC,244476,4320.9600,0.02%,Recently
322,AidosMarket,ADK/BTC,244432,4320.9600,0.02%,Recently
323,C-CEX,ETH/BTC,243571,4312.0500,0.02%,Recently
324,Cryptopia,NEBL/BTC,242160,4334.9400,0.02%,Recently
325,Poloniex,VIA/BTC,232463,4275.2000,0.02%,Recently
326,Bittrex,QRL/BTC,230797,4333.1400,0.02%,Recently
327,Binance,XVG/BTC,228897,4321.9300,0.02%,Recently
328,Nevbit,BTC/PLN,227398,4318.6700,0.02%,Recently
329,Bittrex,BAY/BTC,226346,4300.0400,0.02%,Recently
330,Bittrex,SAFEX/BTC,222275,4320.6300,0.02%,Recently
331,Huobi,LTC/BTC,220701,4347.9600,0.02%,Recently
332,Liqui,GNT/BTC,215568,4321.0200,0.02%,Recently
333,OpenLedger DEX,BTS/BTC,214948,4072.5500,0.02%,Recently
334,Novaexchange,ETH/BTC,212074,4391.6200,0.02%,Recently
335,CEX.IO,ETH/BTC,210620,4316.1400,0.02%,Recently
336,Poloniex,CLAM/BTC,210156,4300.9500,0.02%,Recently
337,Bittrex,AMP/BTC,209450,4309.5600,0.02%,Recently
338,Bittrex,ZEN/BTC,207108,4319.1300,0.02%,Recently
339,Bittrex,MEME/BTC,206472,4320.8900,0.02%,Recently
340,Cryptopia,ETH/BTC,200248,4314.5700,0.02%,Recently
341,Kraken,BTC/CAD,200099,4375.3500,0.02%,Recently
342,QuadrigaCX,BTC/USD,199982,4399.9900,0.02%,Recently
343,Liqui,DNT/BTC,199531,4405.3500,0.02%,Recently
344,Bittrex,DCT/BTC,196201,4314.2300,0.02%,Recently
345,HitBTC,LRC/BTC,195100,4329.5700,0.02%,Recently
346,Bittrex,GUP/BTC,194327,4305.5400,0.02%,Recently
347,YoBit,BTC/RUR,194268,4357.3900,0.02%,Recently
348,Bittrex,BLK/BTC,194136,4316.1700,0.02%,Recently
349,Luno,BTC/NGN,192665,4225.4600,0.02%,Recently
350,Bittrex,GAM/BTC,186996,4320.9700,0.02%,Recently
351,CoinExchange,VOISE/BTC,181056,4330.2100,0.02%,Recently
352,Novaexchange,DOGE/BTC,179484,4556.3400,0.02%,Recently
353,Livecoin,TIME/BTC,179211,4506.8500,0.02%,Recently
354,Waves Decentralized Exchange,WAVES/BTC,179211,4315.0500,0.02%,Recently
355,Kraken,EOS/BTC,177492,4314.5800,0.02%,Recently
356,Bittrex,LUN/BTC,177393,4339.3400,0.02%,Recently
357,WEX,BTC/EUR,173945,4406.7800,0.02%,Recently
358,Bittrex,CLOAK/BTC,173187,4254.2700,0.02%,Recently
359,Bittrex,EXP/BTC,171065,4309.7100,0.02%,Recently
360,Poloniex,BCN/BTC,170095,4336.6500,0.02%,Recently
361,Bittrex,VTR/BTC,168912,4375.8800,0.01%,Recently
362,BTER,BTC/CNY,166448,3949.6000,0.01%,Recently
363,Bittrex,MUSIC/BTC,166381,4310.5200,0.01%,Recently
364,Bittrex,NBT/BTC,164346,4320.9600,0.01%,Recently
365,Bittrex,DMD/BTC,162985,4320.9700,0.01%,Recently
366,Mercatox,ETH/BTC,161702,4246.3000,0.01%,Recently
367,Liqui,TRX/BTC,159862,4343.0000,0.01%,Recently
368,Cryptopia,LTC/BTC,154729,4325.7300,0.01%,Recently
369,CoinExchange,BQX/BTC,154654,4191.8400,0.01%,Recently
370,WEX,BCH/BTC,154303,4379.8500,0.01%,Recently
371,Poloniex,ARDR/BTC,152440,4074.1500,0.01%,Recently
372,Exmo,BTC/UAH,151659,4140.0600,0.01%,Recently
373,Bittylicious,BTC/GBP,151604,4547.3300,0.01%,Recently
374,bitFlyer,ETH/BTC,150056,4303.2500,0.01%,Recently
375,Poloniex,LBC/BTC,150030,4243.6800,0.01%,Recently
376,Bittrex,MONA/BTC,149337,4360.5900,0.01%,Recently
377,Bittrex,ANT/BTC,148533,4359.5100,0.01%,Recently
378,Bittrex,BURST/BTC,147031,4288.8400,0.01%,Recently
379,Bittrex,BRK/BTC,145698,4223.4300,0.01%,Recently
380,YoBit,BTC/USD,144194,4402.0000,0.01%,Recently
381,Novaexchange,BDL/BTC,143307,4200.3500,0.01%,Recently
382,Bittrex,IOC/BTC,142734,4321.5900,0.01%,Recently
383,YoBit,DASH/BTC,139475,4326.6200,0.01%,Recently
384,C-CEX,APW/BTC,139403,4320.9600,0.01%,Recently
385,BitMEX,BTC/USD,295262000,4289.2000,0.00%,Recently
386,Coincheck,BTC/JPY,96589400,4298.6300,0.00%,Recently
387,Zaif,BTC/JPY,36383200,4301.8300,0.00%,Recently
388,BTC100,BTC/CNY,24055400,2405.5400,0.00%,Recently
389,Quoine,BTC/JPY,23184900,4300.4100,0.00%,Recently
390,BTCBOX,BTC/JPY,9608590,4303.3700,0.00%,Recently
391,Quoine,BTC/USD,4392000,4305.6700,0.00%,Recently
392,Bit-Z,GXS/BTC,2874780,4316.2700,0.00%,Recently
393,Quoine,BTC/AUD,2226430,4314.5700,0.00%,Recently
394,Quoine,BTC/EUR,2205810,4309.9500,0.00%,Recently
395,Quoine,BTC/SGD,1865170,4312.7600,0.00%,Recently
396,Quoine,BTC/PHP,975337,4321.4700,0.00%,Recently
397,Quoine,BTC/IDR,725636,4318.8600,0.00%,Recently
398,Quoine,BTC/HKD,430850,4324.1000,0.00%,Recently
399,Tidex,INPAY/BTC,337854,4219.4400,0.00%,Recently
400,Zaif,XEM/BTC,167696,4487.8000,0.00%,Recently
