co_code,co_name
7855,Punjab Natl.Bank
7902,Parekh Aluminex
7927,Ind-Swift Labs.
7947,Welspun Corp
7971,Supreme Impex
8008,Sh. Rama Multi.
8014,Compucom Soft.
8019,Zenith Infotech
8020,KDL Biotech
8021,Wockhardt
8022,Tips Industries
8029,TVS Motor Co.
8032,Usha Mart. Edu.
8034,Megasoft
8036,United Spirits
8037,BF Utilities
8039,Aptech
8040,Aurionpro Sol.
12001,NTPC
12002,I O C L
12019,Coal India
12029,Engineers India
12059,NMDC
12061,Natl.Fertilizer
12068,Power Fin.Corpn.
12076,SJVN
12111,Hexaware Tech.
12122,T N Newsprint
12208,Madhucon Proj.
12220,Punj Lloyd
12232,Guj Pipavav Port
12295,Minda Inds.
12317,Duncans Inds.
12334,APL Apollo
12350,GAIL (India)
12371,Zicom Electron.
12382,Linc Pen &Plast.
12420,Panacea Biotec
12476,Aries Agro
12490,Sonata Software
12521,Page Industries
12546,KIOCL
12579,Indoco Remedies
12580,STG Lifecare
12584,NHPC Ltd
12585,Marico
12586,Redington India
12605,KLG Systel
12607,Container Corpn.
12608,SIL Investments
12611,Ramco Systems
12626,Empee Distill.
12632,Granules India
12637,Kothari Petroche
12639,Coral India Fin.
12648,Arvind Remedies
12653,Reliance Power
12669,GeeCee Vent.
12683,Lincoln Pharma.
12715,SKIL Infrastr
12727,Capri Global
12828,Jain Studios
12902,Jaihind Projects
12952,Aspinwall & Co
12966,Gokaldas Exports
12977,Indrapr.Medical
12986,Blu.Coast Hotel.
13023,Hatsun AgroProd.
13035,ICRA
13051,Rajesh Exports
13067,Geometric
13090,Credit Analysis
13105,Oracle Fin.Serv.
13166,NBCC
13191,Computech Intl.
13212,Prestige Estates
13214,Cerebra Integr.
13240,India Power Corp
13267,Morarjee Text.
13320,Lokesh Mach.
13362,Pokarna
13369,Mahanagar Gas
13410,Arih.Found.Hsg.
13415,Kamper Concast
13425,Cyber Media Ind
13504,Ajanta Pharma
13561,Archies
13649,Blue Chip India
13660,Cyient
13673,Goldstone Tech.
13683,Nitco
13706,Growth Techno
13786,Technofab Engg.
13819,Manaksia
13863,MOIL
13868,G M D C
13872,Suzlon Energy
13967,Blue Bird (I)
13973,Poly Medicure
14001,TVS Elec.
14138,Suprem.Tex Mart
14155,Subex
14181,California Soft.
14185,Ortel Commu.
14192,Eon Elect.
14222,Gati
14266,JP Power Ven.
14270,Rupa & Co
14275,Quintegra Soln.
14343,Adit.Birla Money
14369,Creative Eye
14390,Rasoya Proteins
14482,FDC
14548,Jubilant Food.
14551,Cinevista
14602,DCB Bank
14608,Silicon Valley
14610,Todays Writing
14618,Ankur Drugs
14622,PVR
14680,MRO-TEK Realty
14691,Stampede Cap.
14709,Vidhi Dyestuffs
14738,Globus Corp.
14741,Maithan Alloys
14744,Gateway Distr.
14761,Eider Infotech
14775,Jyothy Lab.
14787,Aravali Inds.
14801,Biocon
14804,Tricom India
14817,Atul Auto
14852,ABG Shipyard
14871,BGR Energy Sys.
14927,Accelya Kale
14965,PNB Gilts
14978,Minda Corp
15007,Prit Nandy Comm.
15046,Aksh Optifibre
15108,Summit Sec.
15196,Nelcast
15228,Sun TV Network
15293,JP Associates
15342,Helios Matheson
15469,Smartlink Netwr.
15542,Bharti Airtel
15613,Godrej Propert.
15631,Castex Tech
15639,Energy Devl.Co.
15674,NDTV
15783,Century Ply.
15798,Salona Cotspin
15825,Dwarikesh Sugar
15871,Lovable Lingerie
15876,Visagar Polytex
15934,Repro India
16012,Tulip Telecom
16020,Ambika Cotton
16077,Cura Tech.
16093,Satin Creditcare
16305,Kernex Microsys.
16437,Vaibhav Global
16474,PNB Housing
16500,Gayatri Projects
16541,KPIT Tech.
16667,BLB
16795,M & M Fin. Serv.
16819,IZMO
16825,Kamdhenu
16996,Strides Shasun
